id,lat,lon,heading,course,speed,status,mmsi,callsign,imo,length,width,draught,type
91,47.74549,-3.348217,214,94,0,Underway using Engine,228267700,FNKP,9398814,24.99,9.5,42,Tug
91,47.74549,-3.348217,214,94,0,Underway using Engine,228267700,FNKP,9398814,24.99,9.5,42,Tug
127,44.88773,-0.5324717,168,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88773,-0.5324717,168,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88774,-0.5326083,168,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88774,-0.5326083,168,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88781,-0.532655,167,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88781,-0.532655,167,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88781,-0.5326583,167,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
127,44.88781,-0.5326583,167,144,0,Underway using Engine,228278826,FNMP,9398826,24.99,9.5,40,Tug
149,50.97039,1.868965,74,337,1,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97039,1.868965,74,337,1,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97038,1.868967,75,64,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97038,1.868967,75,64,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97039,1.868965,74,260,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97039,1.868965,74,260,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.9704,1.868975,74,10,1,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.9704,1.868975,74,10,1,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97039,1.868968,74,31,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
149,50.97039,1.868968,74,31,0,Underway using Engine,228283600,FNNP,9422184,30.25,11,51,Fire Fighting Vessel
154,50.97023,1.868392,248,28,0,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97023,1.868392,248,28,0,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97023,1.868388,248,219,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97023,1.868388,248,219,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97024,1.868398,248,357,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97024,1.868398,248,357,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97025,1.868402,248,336,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
154,50.97025,1.868402,248,336,1,Underway using Engine,228283700,FNNQ,9422172,30.25,11,51,Fire Fighting Vessel
158,49.47258,0.1854583,337,291,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.47258,0.1854583,337,291,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.185465,336,313,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.185465,336,313,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.1854817,337,293,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.1854817,337,293,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.1854733,336,325,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.4726,0.1854733,336,325,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
